CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
37735516037782,0607500,00710,Active,San Diego,Carlsbad Unified,Jefferson Elementary,3743 Jefferson Street,3743 Jefferson St.,Carlsbad,92008-3336,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,(760) 331-5500,No Data,(760) 720-3809,http://jes.carlsbadusd.net,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.153787,-117.33958,Emma,Cobb,2024-08-20,N
37735516037790,0607500,00713,Active,San Diego,Carlsbad Unified,Magnolia Elementary,1905 Magnolia Avenue,1905 Magnolia Ave.,Carlsbad,92008-2632,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,(760) 331-5600,No Data,(760) 720-3879,http://mes.carlsbadusd.net,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.160076,-117.32670,Craig,Leach,2024-08-20,N
37735516037808,0607500,No Data,Merged,San Diego,Carlsbad Unified,Pine Elementary,3333 Harding Street,3333 Harding St.,Carlsbad,92008,CA,3333 Harding Street,3333 Harding St.,Carlsbad,92008,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1999-10-01 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,ELEM,Elementary,5-6,3-6,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2000-02-03,No Data
37735516037816,0607500,00715,Active,San Diego,Carlsbad Unified,Valley Middle,1645 Magnolia Avenue,1645 Magnolia Ave.,Carlsbad,92008-2626,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,(760) 331-5300,No Data,(760) 720-2326,http://vms.carlsbadusd.net/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.158874,-117.32931,Rose,Flowers,2024-08-20,N
37735516099352,0607500,00711,Active,San Diego,Carlsbad Unified,Kelly Elementary,4885 Kelly Drive,4885 Kelly Dr.,Carlsbad,92008-3734,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,(760) 331-5800,No Data,(760) 720-0635,http://kes.carlsbadusd.net/,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.148360,-117.31122,Ashley,Rossiter,2024-08-20,N
37735516106512,0607500,09120,Active,San Diego,Carlsbad Unified,Hope Elementary,3010 Tamarack Avenue,3010 Tamarack Ave.,Carlsbad,92010-7097,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009-2430,CA,(760) 331-5900,No Data,(760) 729-4758,http://hes.carlsbadusd.net,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.170986,-117.30547,Andrew,Gergurich,2024-08-21,N
37735516109201,0607500,09747,Active,San Diego,Carlsbad Unified,Aviara Oaks Elementary,6900 Ambrosia Lane,6900 Ambrosia Ln.,Carlsbad,92009-2430,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,(760) 331-6000,No Data,(760) 438-4576,http://aoes.carlsbadusd.net/,1990-09-07 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.101346,-117.27667,James,Hines,2024-08-19,N
37735516116578,0607500,08312,Active,San Diego,Carlsbad Unified,Pacific Rim Elementary,1100 Camino De Las Ondas,1100 Camino De Las Ondas,Carlsbad,92009-3400,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,(760) 331-6200,No Data,(760) 929-1778,http://pres.carlsbadusd.net,1999-09-07 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.111431,-117.30503,Richard,Tubbs,2024-08-21,N
37735516118137,0607500,08606,Active,San Diego,Carlsbad Unified,Aviara Oaks Middle,6880 Ambrosia Lane,6880 Ambrosia Ln.,Carlsbad,92011-5057,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,(760) 331-6100,No Data,(760) 438-7894,http://aoms.carlsbadusd.net,1998-09-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.103077,-117.27894,Nicole,Johnston,2024-08-19,N
37735516120711,0607500,10643,Active,San Diego,Carlsbad Unified,Calavera Hills Elementary,4100 Tamarack Avenue,4100 Tamarack Ave.,Carlsbad,92008-7101,CA,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,(760) 331-6300,No Data,(760) 729-3040,http://ches.carlsbadusd.net,2002-09-03 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.172385,-117.29083,Aaron,Nelson,2024-08-19,N
37735690000000,0628250,No Data,Active,San Diego,Oceanside Unified,No Data,2111 Mission Avenue,2111 Mission Ave.,Oceanside,92058-2326,CA,2111 Mission Avenue,2111 Mission Ave.,Oceanside,92058-2326,CA,(760) 966-4000,No Data,(760) 721-9714,http://www.oside.us,No Data,No Data,No Data,No Data,No Data,54.0,Unified School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,33.205744,-117.36261,Julie,"Vitale, Ph.D.",2022-03-23,No Data
37735690101071,0628250,11265,Closed,San Diego,Oceanside Unified,Coastal Academy,4096 Calle Platino,4096 Calle Platino,Oceanside,92056-5805,CA,318 W Valley Parkway,318 W Valley Pkwy.,Escondido,92025,CA,No Data,No Data,No Data,Information Not Available,2003-08-22 00:00:00,2017-08-07 00:00:00,Y,0516,Directly funded,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,C,N,N,No Data,33.207747,-117.29192,No Data,No Data,2017-08-07,No Data
37735690101089,0628250,11274,Closed,San Diego,Oceanside Unified,School of Business and Technology,320 North Horne,320 North Horne,Oceanside,92054,CA,320 North Horne,320 North Horne,Oceanside,92054,CA,No Data,No Data,No Data,No Data,2003-08-18 00:00:00,2008-06-30 00:00:00,Y,0545,No Data,54.0,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-10-02,No Data
37735690113514,0628250,12011,Active,San Diego,Oceanside Unified,Louise Foussat Elementary,3800 Pala Road,3800 Pala Rd.,Oceanside,92058-0678,CA,3800 Pala Road,3800 Pala Rd.,Oceanside,92058-0678,CA,(760) 721-2200,No Data,(760) 754-1567,http://foussat.oside.us,2007-08-27 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.237973,-117.32914,Sam,Glassford,2025-03-12,Y
37735690113522,0628250,11922,Active,San Diego,Oceanside Unified,Cesar Chavez Middle,202 Oleander Drive,202 Oleander Dr.,Oceanside,92057-6122,CA,202 Oleander Drive,202 Oleander Dr.,Oceanside,92057-6122,CA,(760) 966-4900,No Data,(760) 945-4665,http://chavez.oside.us,2007-08-27 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.241726,-117.30066,Nicole,Hendricks,2025-03-12,Y
37735690136267,0628250,14145,Active,San Diego,Oceanside Unified,Coastal Academy Charter,4096 Calle Platino,4096 Calle Platino,Oceanside,92056-5805,CA,355 East Grand Ave,355 East Grand Ave,Escondido,92025,CA,(760) 631-4020,No Data,(760) 631-4027,http://classicalacademy.com/,2017-08-07 00:00:00,No Data,Y,0516,Directly funded,54.0,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,C,N,N,0602258,33.206522,-117.29292,Marcy,Cashin,2023-02-09,N
37735690140079,0628250,14502,Active,San Diego,Oceanside Unified,Surfside Academy,1125 South Ditmar Street,1125 South Ditmar St.,Oceanside,92054-5103,CA,1125 South Ditmar Street,1125 South Ditmar St.,Oceanside,92054,CA,(760) 901-8600,No Data,(760) 439-5588,http://surfside.oside.us,2020-08-17 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEMHIGH,Elementary-High Combination,K-12,K-12,V,N,N,No Data,33.185410,-117.36811,Eric,Frandsen,2025-03-12,N
37735690140343,0628250,14503,Active,San Diego,Oceanside Unified,Oceanside Unified School District Adult Transition Program,707 Carey Road,707 Carey Rd.,Oceanside,92058-2311,CA,707 Carey Road,707 Carey Rd.,Oceanside,92058-2311,CA,(760) 901-7170,No Data,(760) 757-1636,http://atp.oside.us,2020-08-17 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,09,Special Education Schools (Public),SPEC,Special Education School,HS,High School,12-Adult,12,N,N,N,No Data,33.208707,-117.36229,Heidi,Barker,2025-03-12,N
37735693730421,0628250,No Data,Closed,San Diego,Oceanside Unified,Plato High (Indep. St.),2111 Mission Avenue (Annex),2111 Mission Ave. (Annex),Oceanside,92054,CA,2111 Mission Avenue (Annex),2111 Mission Ave. (Annex),Oceanside,92054,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1993-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,63,Alternative Schools of Choice,No Data,No Data,HS,High School,7-12,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37735693731148,0628250,07711,Closed,San Diego,Oceanside Unified,Clair W. Burgener Academy,707 Carey Road,707 Carey Rd.,Oceanside,92058-2311,CA,707 Carey Road,707 Carey Rd.,Oceanside,92058-2311,CA,No Data,No Data,No Data,No Data,1998-09-08 00:00:00,2008-07-01 00:00:00,N,No Data,No Data,54.0,Unified School District,13,Opportunity Schools,OPP,Opportunity School,HS,High School,9-12,9-12,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-10-02,No Data
37735693731221,0628250,08313,Active,San Diego,Oceanside Unified,Pacific View Charter,3670 Ocean Ranch Boulevard,3670 Ocean Ranch Blvd.,Oceanside,92056-2669,CA,3670 Ocean Ranch Boulevard,3670 Ocean Ranch Blvd.,Oceanside,92056-2669,CA,(760) 757-0161,No Data,(760) 435-2666,http://www.pacificview.org,1999-07-01 00:00:00,No Data,Y,0247,Directly funded,54.0,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,Y,0601537,33.210649,-117.31151,Erin,Gorence,2023-07-26,N
37735693731593,0628250,10644,Closed,San Diego,Oceanside Unified,Oceanside School of Business and Technology,1831 Mission Avenue,1831 Mission Ave.,Oceanside,92054,CA,1831 Mission Avenue,1831 Mission Ave.,Oceanside,92054,CA,No Data,No Data,No Data,Information Not Available,2002-08-19 00:00:00,2003-07-01 00:00:00,N,No Data,No Data,54.0,Unified School District,66,High Schools (Public),No Data,No Data,HS,High School,11-12,11,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-01-30,No Data
37735693735206,0628250,04368,Active,San Diego,Oceanside Unified,Oceanside High,1 Pirates Cove,1 Pirates Cove,Oceanside,92054-3066,CA,First and Horne Streets,First and Horne Sts.,Oceanside,92054-3080,CA,(760) 901-8200,No Data,(760) 757-2419,http://ohs.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,N,No Data,33.197067,-117.37414,Skyler,Garrahy,2025-03-12,N
37735693739018,0628250,04360,Active,San Diego,Oceanside Unified,El Camino High,400 Rancho del Oro Drive,400 Rancho del Oro Dr.,Oceanside,92057-8316,CA,400 Rancho del Oro Drive,400 Rancho del Oro Dr.,Oceanside,92057-8316,CA,(760) 901-8000,No Data,(760) 757-5321,http://echs.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,C,N,N,No Data,33.219594,-117.31909,Eileen,Frazier,2025-03-12,N
37735693739026,0628250,04367,Active,San Diego,Oceanside Unified,Surfside High (Continuation),1125 South Ditmar Street,1125 South Ditmar St.,Oceanside,92054-5103,CA,1125 South Ditmar Street,1125 South Ditmar St.,Oceanside,92054-5103,CA,(760) 901-8600,No Data,(760) 439-5588,http://surfside.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,11-12,C,N,N,No Data,33.185410,-117.36811,Eric,Frandsen,2025-03-12,N
37735696038822,0628250,04358,Closed,San Diego,Oceanside Unified,Ditmar Elementary,1125 South Ditmar Street,1125 South Ditmar St.,Oceanside,92054-5103,CA,1125 South Ditmar Street,1125 South Ditmar St.,Oceanside,92054-5103,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,2008-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-10-02,No Data
37735696038830,0628250,04361,Active,San Diego,Oceanside Unified,Jefferson Middle,823 Acacia Street,823 Acacia St.,Oceanside,92058-2305,CA,823 Acacia Street,823 Acacia St.,Oceanside,92058-2305,CA,(760) 966-4700,No Data,(760) 757-5791,http://jefferson.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.208382,-117.36389,Jonathan,Penuilar,2025-03-12,N
37735696038848,0628250,04362,Active,San Diego,Oceanside Unified,Laurel Elementary,1410 Laurel Street,1410 Laurel St.,Oceanside,92058-2217,CA,1410 Laurel Street,1410 Laurel St.,Oceanside,92058-2217,CA,(760) 966-4200,No Data,(760) 966-1704,http://laurel.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.207375,-117.37345,Dieter,Swank,2025-03-12,N
37735696038855,0628250,04363,Active,San Diego,Oceanside Unified,Libby Elementary,423 West Redondo Drive,423 West Redondo Dr.,Oceanside,92057-4316,CA,423 West Redondo Drive,423 West Redondo Dr.,Oceanside,92057-4316,CA,(760) 901-7000,No Data,(760) 967-0623,http://libby.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.251715,-117.30467,Art,Carrasco,2025-03-12,N
37735696038863,0628250,04364,Active,San Diego,Oceanside Unified,Lincoln Middle,2000 California Street,2000 California St.,Oceanside,92054-5683,CA,2000 California Street,2000 California St.,Oceanside,92054-5683,CA,(760) 901-8900,No Data,(760) 433-2035,http://lincoln.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.187731,-117.35255,Cesar,Mora,2025-03-12,N
37735696038871,0628250,04365,Active,San Diego,Oceanside Unified,Mission Elementary,2100 Mission Avenue,2100 Mission Ave.,Oceanside,92058-2327,CA,2100 Mission Avenue,2100 Mission Ave.,Oceanside,92058-2327,CA,(760) 966-8700,No Data,(760) 757-6492,http://mission.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.205741,-117.36293,Luz,Martinez,2025-03-12,N
37735696038889,0628250,04366,Active,San Diego,Oceanside Unified,North Terrace Elementary,141 Santa Rosa Drive,141 Santa Rosa Dr.,Oceanside,92058-6880,CA,141 Santa Rosa Drive,141 Santa Rosa Dr.,Oceanside,92058-6880,CA,(760) 901-7500,No Data,(760) 430-7147,http://northterrace.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,No Data,33.219150,-117.38004,Jennifer,Hughes,2025-03-12,N
37735696038897,0628250,04370,Active,San Diego,Oceanside Unified,Palmquist Elementary,1999 California Street,1999 California St.,Oceanside,92054-5685,CA,1999 California Street,1999 California St.,Oceanside,92054-5685,CA,(760) 901-8500,No Data,(760) 433-6795,http://palmquist.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.189628,-117.34938,Julie,Schlueter,2025-03-12,N
37735696038905,0628250,04371,Active,San Diego,Oceanside Unified,Pablo Tac School of the Arts,3535 Hacienda Drive,3535 Hacienda Dr.,Oceanside,92054-3854,CA,3535 Hacienda Drive,3535 Hacienda Dr.,Oceanside,92054-3854,CA,(760) 721-2300,No Data,(760) 757-2267,http://pablotac.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.219659,-117.33620,Carla,Aranda,2025-03-12,Y
37735696038913,0628250,04373,Active,San Diego,Oceanside Unified,Santa Margarita Elementary,1 Carnes Road,1 Carnes Rd.,Oceanside,92058-6699,CA,1 Carnes Road,1 Carnes Rd.,Oceanside,92058-6699,CA,(760) 901-7900,No Data,(760) 430-1415,http://santamargarita.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,No Data,33.230925,-117.37907,Dan,Jarvis,2025-03-12,N
37735696038921,0628250,04374,Active,San Diego,Oceanside Unified,South Oceanside Elementary,1806 South Horne Street,1806 South Horne St.,Oceanside,92054-6017,CA,1806 South Horne Street,1806 South Horne St.,Oceanside,92054-6017,CA,(760) 435-2100,No Data,(760) 439-9954,http://southo.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.177487,-117.35807,Casey,Doose,2025-03-12,N
37735696067011,0628250,04372,Closed,San Diego,Oceanside Unified,San Rafael Elementary,1616 San Rafael Drive,1616 San Rafael Dr.,Oceanside,92054-1198,CA,1616 San Rafael Drive,1616 San Rafael Dr.,Oceanside,92054-1198,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,2002-12-09 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),No Data,No Data,ELEM,Elementary,K-6,K-8,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-01-30,No Data
37735696069108,0628250,04359,Closed,San Diego,Oceanside Unified,E. G. Garrison Elementary,3535 Hacienda Drive,3535 Hacienda Dr.,Oceanside,92054-3854,CA,3535 Hacienda Drive,3535 Hacienda Dr.,Oceanside,92054-3854,CA,No Data,No Data,No Data,Information Not Available,1980-07-01 00:00:00,2020-06-30 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,Y,N,No Data,33.220215,-117.33522,No Data,No Data,2020-07-08,N
37735696070916,0628250,04369,Closed,San Diego,Oceanside Unified,Pacifica Elementary,4991 Macario Drive,4991 Macario Dr.,Oceanside,92057-4302,CA,4991 Macario Drive,4991 Macario Dr.,Oceanside,92057-4302,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,2007-07-01 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-10-02,No Data
37735696085070,0628250,No Data,Closed,San Diego,Oceanside Unified,Burgener (Claire W.) Elementary,707 Carey Road,707 Carey Rd.,Oceanside,92054,CA,707 Carey Road,707 Carey Rd.,Oceanside,92054,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1992-03-04 00:00:00,N,No Data,No Data,54.0,Unified School District,09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37735696088991,0628250,04357,Active,San Diego,Oceanside Unified,Del Rio Elementary,5200 North River Road,5200 North River Rd.,Oceanside,92057-3811,CA,5200 North River Road,5200 North River Rd.,Oceanside,92057-3811,CA,(760) 901-7300,No Data,(760) 433-3240,http://delrio.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.255349,-117.29486,Lorrah,Hogue,2025-03-12,N
37735696106546,0628250,09169,Closed,San Diego,Oceanside Unified,Reynolds Elementary,4575 Douglas Drive,4575 Douglas Dr.,Oceanside,92057-4228,CA,4575 Douglas Drive,4575 Douglas Dr.,Oceanside,92057-4228,CA,No Data,No Data,No Data,Information Not Available,1980-07-01 00:00:00,2023-06-15 00:00:00,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,Y,No Data,33.255862,-117.31440,No Data,No Data,2023-07-31,Y
37735696108211,0628250,09597,Active,San Diego,Oceanside Unified,Christa McAuliffe Elementary,3701 Kelton Drive,3701 Kelton Dr.,Oceanside,92056-6311,CA,3701 Kelton Drive,3701 Kelton Dr.,Oceanside,92056-6311,CA,(760) 901-8400,No Data,(760) 722-1576,http://mcauliffe.oside.us,1980-07-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.200502,-117.30626,Bill,Willis,2025-03-12,N
37735696109995,0628250,10311,Active,San Diego,Oceanside Unified,Ivey Ranch Elementary,4275 Via Rancho Road,4275 Via Rancho Rd.,Oceanside,92057-8534,CA,4275 Via Rancho Road,4275 Via Rancho Rd.,Oceanside,92057-8534,CA,(760) 966-4800,No Data,(760) 967-4077,http://ivey.oside.us,1991-09-10 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.219404,-117.30103,Sarah,Harrington,2025-03-12,N
37735696111777,0628250,03970,Active,San Diego,Oceanside Unified,Martin Luther King Jr. Middle,1290 Ivey Ranch Road,1290 Ivey Ranch Rd.,Oceanside,92057-8535,CA,1290 Ivey Ranch Road,1290 Ivey Ranch Rd.,Oceanside,92057-8535,CA,(760) 901-8800,No Data,(760) 967-4154,http://king.oside.us,1994-09-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.215828,-117.31067,Natalie,Daniels,2025-03-12,N
37735696115166,0628250,07716,Closed,San Diego,Oceanside Unified,Challenges Community Day,707 Carey Road,707 Carey Rd.,Oceanside,92058,CA,2111 Mission Avenue,2111 Mission Ave.,Oceanside,92058,CA,No Data,No Data,No Data,No Data,1998-01-05 00:00:00,2009-06-12 00:00:00,N,No Data,No Data,54.0,Unified School District,69,District Community Day Schools,COMMDAY,Community Day School,ELEM,Elementary,K-6,5,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-09-30,No Data
37735696115299,0628250,07717,Active,San Diego,Oceanside Unified,Stuart Mesa Elementary,100 Yamanaka Way,100 Yamanaka Way,Oceanside,92058-8016,CA,100 Yamanaka Way,100 Yamanaka Way,Oceanside,92058-8016,CA,(760) 901-7700,No Data,(760) 430-8288,http://stuartmesa.oside.us,1998-09-08 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,No Data,33.254199,-117.40995,Rhonda,Heffernan,2025-03-12,N
37735696119713,0628250,10645,Active,San Diego,Oceanside Unified,Nichols Elementary,4250 Old Grove Road,4250 Old Grove Rd.,Oceanside,92057-6539,CA,4250 Old Grove Road,4250 Old Grove Rd.,Oceanside,92057-6539,CA,(760) 435-7400,No Data,(760) 722-0472,http://nichols.oside.us,2002-08-01 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.238070,-117.31559,Robert,Flaherty,2025-03-12,N
37737910000000,0634880,No Data,Active,San Diego,San Marcos Unified,No Data,"255 Pico Avenue, Suite 250","255 Pico Ave., Ste. 250",San Marcos,92069-3712,CA,"255 Pico Avenue, Suite 250","255 Pico Ave., Ste. 250",San Marcos,92069-3712,CA,(760) 752-1299,No Data,(760) 471-4928,http://www.smusd.org,No Data,No Data,No Data,No Data,No Data,54.0,Unified School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,33.142336,-117.16574,Andrew,Johnsen,2022-08-31,No Data
37737910105684,0634880,11403,Active,San Diego,San Marcos Unified,San Elijo Middle,1600 Schoolhouse Way,1600 Schoolhouse Way,San Marcos,92078-1079,CA,1600 Schoolhouse Way,1600 Schoolhouse Way,San Marcos,92078-1079,CA,(760) 290-2800,No Data,(760) 290-2828,http://www.smusd.org,2004-08-16 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.098820,-117.19736,Patricia,Storey,2023-07-13,N
37737910105726,0634880,11404,Active,San Diego,San Marcos Unified,Mission Hills High,1 Mission Hills Court,1 Mission Hills Ct.,San Marcos,92069-1965,CA,1 Mission Hills Court,1 Mission Hills Ct.,San Marcos,92069-1965,CA,(760) 290-2700,No Data,(760) 290-2680,http://www.smusd.org,2004-08-16 00:00:00,No Data,N,No Data,No Data,54.0,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,33.147163,-117.14694,Nathan,Baker,2023-02-09,N
